ID,GENRE,UR,ML,CR,MY,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
38, Comedy,13,105,1,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39, Comedy|Romance,12,113,2,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40, Drama,15,97,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41, Drama|War,1,50,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42, Action|Crime|Drama,16,108,2,1995,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43, Drama,10,100,5,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44, Action|Adventure|Fantasy,6,55,1,1995,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45, Comedy|Drama|Thriller,7,103,2,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
46, Drama|Romance,17,128,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
47, Crime|Horror|Mystery|Thriller,10,178,5,1995,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
48, Animation|Children|Musical|Romance,13,85,1,1995,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49, Drama|Romance,9,115,5,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50, Crime|Mystery|Thriller,7,103,2,1995,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
51, Action|Drama|Thriller,14,134,4,1994,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
52, Comedy|Drama|Romance,17,61,5,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
53, Adventure|Drama,18,39,3,1994,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54, Children|Comedy,16,156,5,1995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55, Drama,8,147,4,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56, Adventure|Children|Fantasy,16,151,1,1995,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57, Drama,4,139,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58, Comedy|Drama|Romance,10,140,4,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
59, Drama|Mystery,4,54,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
60, Adventure|Children|Fantasy,8,71,2,1995,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61, Drama|Thriller,11,166,1,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62, Drama,6,134,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63, Comedy|Crime,4,123,2,1996,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
64, Comedy|Romance,6,71,1,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
65, Comedy,1,155,4,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66, Action|Sci-Fi|Thriller,13,110,3,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
67, Drama,10,48,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68, Comedy|Romance,5,150,2,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
69, Comedy,12,105,5,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70, Action|Comedy|Horror|Thriller,2,51,4,1996,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
71, Action,10,153,5,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72, Comedy|Drama,1,135,4,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
73, Drama|War,19,49,5,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
74, Drama|Romance,7,116,3,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75, Comedy|Drama,12,49,4,1996,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
76, Action|Sci-Fi|Thriller,12,99,4,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
77, Documentary,11,135,5,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78, Drama,10,99,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79, Drama|Thriller,15,159,1,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
80, Children|Drama,9,68,4,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81, Crime|Drama|Romance,8,46,5,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
82, Comedy|Drama,7,174,1,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
83, Drama,13,64,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84, Comedy|Drama,2,51,1,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
85, Drama|Romance,19,37,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
86, Adventure|Drama,3,103,1,1996,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87, Children|Comedy,13,114,3,1996,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88, Comedy,11,55,4,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89, Action|Thriller,7,82,1,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90, Drama,16,50,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92, Drama|Horror|Thriller,7,148,4,1996,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
93, Comedy|Romance,4,106,1,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
94, Comedy|Drama|Romance,11,56,5,1996,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
95, Action|Adventure|Thriller,18,118,5,1996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96, Comedy|Drama,10,34,5,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
97, Drama,11,49,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98, Action|Thriller,1,113,1,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99, Documentary,10,106,4,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100, Drama|Thriller,10,139,2,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
101, Adventure|Comedy|Crime|Romance,18,31,5,1996,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
102, Comedy,7,163,5,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103, Mystery|Sci-Fi|Thriller,11,80,3,1996,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
104, Comedy,9,64,1,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105, Drama|Romance,5,177,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
106, Comedy|Drama,6,56,5,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
107, Adventure|Children|Comedy|Musical,14,178,5,1996,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
108, Documentary,11,69,1,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109, Comedy,13,102,4,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110, Action|Drama|War,16,63,1,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
111, Crime|Drama|Thriller,3,136,5,1976,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
112, Action|Adventure|Comedy|Crime,7,165,5,1995,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
113, Drama|Mystery,3,86,1,1996,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
114, Drama,4,41,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115, Comedy,9,152,5,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116, Documentary,3,56,4,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117, Crime|Drama,15,31,3,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
118, Comedy|Romance,1,133,4,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
119, Comedy,14,108,1,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120, Drama,11,129,5,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121, Drama,8,90,2,1992,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122, Comedy|Romance,18,138,5,1992,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
123, Drama|Mystery|Romance,13,45,2,1994,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
124, Drama,19,113,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125, Comedy,10,123,2,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126, Adventure|Children|Fantasy,16,54,2,1994,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127, Drama,14,67,3,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128, Documentary,16,69,4,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129, Comedy|Romance,6,57,5,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
130, Drama,6,162,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131, Drama|Romance,12,93,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
132, Thriller,5,67,4,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133, Comedy|Drama,10,153,4,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
134, Documentary,6,104,4,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135, Comedy,6,122,4,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136, Documentary,17,91,5,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137, Documentary,15,132,3,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138, Drama,6,174,5,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139, Action|Drama,9,99,3,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140, Drama|Romance,15,48,2,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
141, Comedy,18,48,2,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142, Drama,17,170,2,1988,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143, Drama,16,114,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144, Comedy,18,84,1,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145, Action,11,179,4,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146, Adventure|Children,4,154,2,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147, Drama,4,144,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
148, Drama,9,59,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149, Crime|Drama|Thriller,13,117,4,1994,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
150, Adventure|Drama,4,143,3,1995,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151, Action|Drama|Romance|War,4,149,1,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
152, Drama|Horror,17,110,4,1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
153, Action|Adventure|Comedy|Crime,9,171,4,1995,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
154, Drama,7,97,5,1967,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155, Adventure|Drama|War,4,58,3,1995,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
156, Comedy|Drama,14,35,5,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
157, Comedy|War,11,65,3,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
158, Adventure|Children,11,119,2,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159, Crime|Drama|Mystery,13,112,3,1995,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
160, Action|Adventure|Mystery|Sci-Fi,19,70,3,1995,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
161, Drama|Thriller|War,6,74,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
162, Documentary,7,167,3,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163, Action|Romance|Thriller,12,179,5,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
164, Crime|Film-Noir|Mystery|Thriller,3,162,1,1995,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
165, Action|Crime|Thriller,1,47,4,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
166, Comedy|Crime|Drama,14,94,3,1995,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
167, Drama,15,96,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168, Action|Drama|Romance,13,60,2,1995,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
169, Adventure|Children|Drama,7,158,4,1995,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170, Action|Adventure|Crime|Thriller,5,113,1,1995,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
171, Comedy|Drama,6,178,5,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
172, Action|Sci-Fi|Thriller,5,91,3,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
173, Action|Crime|Sci-Fi,1,35,5,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
174, Comedy,17,48,4,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175, Drama,1,159,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176, Comedy,15,124,3,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177, Horror,12,164,2,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
178, Comedy|Drama,14,87,1,1993,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
179, Drama|Romance,11,176,5,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
180, Comedy,12,76,5,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181, Action|Children,19,121,4,1995,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182, Drama|Romance,9,149,5,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
183, Comedy|Horror|Thriller,15,138,2,1994,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
184, Drama,19,169,2,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185, Action|Crime|Thriller,4,71,4,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
186, Comedy|Romance,13,133,4,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
187, Comedy,5,121,4,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188, Fantasy|Horror|Mystery,17,86,4,1995,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
189, Comedy|Fantasy,14,124,3,1995,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
190, Thriller,17,139,4,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
191, Drama|Romance,10,153,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
192, Documentary,16,83,3,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193, Drama,17,172,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
194, Comedy|Drama,3,173,4,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
195, Comedy|Drama|Romance,15,126,2,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
196, Horror|Sci-Fi,13,109,3,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
197, Drama,10,119,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198, Action|Crime|Drama|Mystery|Sci-Fi|Thriller,19,73,2,1995,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
199, Drama|Musical,16,147,4,1964,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
200, Thriller,1,80,3,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201, Drama,15,85,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202, Drama|Romance,2,90,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
203, Comedy,15,165,2,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204, Action,2,134,4,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205, Comedy|Drama,3,66,3,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
206, Documentary,9,94,2,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207, Drama|Romance,13,170,2,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
208, Action|Adventure|Sci-Fi,11,48,5,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
209, Drama,16,105,5,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
210, Western,18,169,2,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211, Drama,13,41,2,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
212, Adventure|Comedy|Crime|Mystery,8,167,4,1995,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
213, Drama,9,83,1,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
214, Drama|War,9,58,4,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
215, Drama|Romance,12,105,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
216, Comedy,1,178,2,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
217, Drama|Thriller,18,126,1,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
218, Comedy|Drama,3,94,4,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
219, Drama,14,88,5,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220, Horror,19,101,5,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
222, Drama|Romance,11,145,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
223, Comedy,18,113,5,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224, Comedy|Drama|Romance,8,145,3,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
225, Drama|Thriller,14,175,1,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
226, Thriller,3,100,5,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227, Action|Thriller,8,34,3,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
228, Comedy,3,141,5,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229, Drama|Thriller,7,49,1,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
230, Drama|Thriller,3,134,3,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
231, Comedy,14,171,4,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232, Comedy|Drama|Romance,6,172,2,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
233, Drama,4,95,5,1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
234, Comedy,2,45,3,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235, Comedy|Drama,11,96,2,1994,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
236, Action|Comedy|Romance,17,43,2,1995,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
237, Comedy|Romance,8,171,1,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
238, Adventure|Children,19,138,5,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239, Animation|Children|Comedy|Romance,15,82,4,1995,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
240, Thriller,14,135,4,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
241, Children|Drama,7,152,5,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
242, Drama|Musical,14,133,2,1994,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
243, Comedy,4,43,1,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244, Animation|Children,1,74,3,1995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245, Crime|Drama,9,90,5,1994,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
246, Documentary,19,164,5,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247, Crime|Drama|Fantasy|Romance|Thriller,16,176,5,1994,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
248, Comedy,2,44,4,1994,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
